# time  ID  size  fromHost  toHost  TTL  isResponse
2775.0000 M141 500 H13 F220 1433 N 
2794.0000 M142 500 H29 F220 1433 N 
2809.0000 M143 500 H180 F220 1433 N 
2827.0000 M144 500 H114 F220 1433 N 
2848.0000 M145 500 H21 F220 1433 N 
2863.0000 M146 500 H177 F220 1433 N 
2879.0000 M147 500 H29 F220 1433 N 
2895.0000 M148 500 H83 F220 1433 N 
2915.0000 M149 500 H142 F220 1433 N 
2930.0000 M150 500 H53 F220 1433 N 
2953.0000 M151 500 H30 F220 1433 N 
2975.0000 M152 500 H54 F220 1433 N 
2997.0000 M153 500 H143 F220 1433 N 
3013.0000 M154 500 H113 F220 1433 N 
3028.0000 M155 500 H161 F220 1433 N 
3048.0000 M156 500 H148 F220 1433 N 
3072.0000 M157 500 H85 F220 1433 N 
3094.0000 M158 500 H1 F220 1433 N 
3109.0000 M159 500 H61 F220 1433 N 
3126.0000 M160 500 H1 F220 1433 N 
3149.0000 M161 500 H148 F220 1433 N 
3167.0000 M162 500 H86 F220 1433 N 
3189.0000 M163 500 H55 F220 1433 N 
3209.0000 M164 500 H107 F220 1433 N 
3226.0000 M165 500 H82 F220 1433 N 
3247.0000 M166 500 H78 F220 1433 N 
3265.0000 M167 500 H25 F220 1433 N 
3284.0000 M168 500 H46 F220 1433 N 
3306.0000 M169 500 H159 F220 1433 N 
3327.0000 M170 500 H51 F220 1433 N 
3348.0000 M171 500 H148 F220 1433 N 
3364.0000 M172 500 H175 F220 1433 N 
3382.0000 M173 500 H27 F220 1433 N 
3406.0000 M174 500 H60 F220 1433 N 
3426.0000 M175 500 H135 F220 1433 N 
3441.0000 M176 500 H186 F220 1433 N 
3461.0000 M177 500 H118 F220 1433 N 
3485.0000 M178 500 H16 F220 1433 N 
3500.0000 M179 500 H64 F220 1433 N 
3522.0000 M180 500 H124 F220 1433 N 
3542.0000 M181 500 H74 F220 1433 N 
3563.0000 M182 500 H182 F220 1433 N 
3583.0000 M183 500 H137 F220 1433 N 
3607.0000 M184 500 H127 F220 1433 N 
3631.0000 M185 500 H69 F220 1433 N 
3649.0000 M186 500 H136 F220 1433 N 
3665.0000 M187 500 H166 F220 1433 N 
3687.0000 M188 500 H64 F220 1433 N 
3706.0000 M189 500 H164 F220 1433 N 
3723.0000 M190 500 H66 F220 1433 N 
3743.0000 M191 500 H135 F220 1433 N 
3763.0000 M192 500 H4 F220 1433 N 
3780.0000 M193 500 H151 F220 1433 N 
3795.0000 M194 500 H43 F220 1433 N 
3814.0000 M195 500 H156 F220 1433 N 
3830.0000 M196 500 H173 F220 1433 N 
3852.0000 M197 500 H132 F220 1433 N 
3875.0000 M198 500 H23 F220 1433 N 
3898.0000 M199 500 H185 F220 1433 N 
3920.0000 M200 500 H110 F220 1433 N 
3939.0000 M201 500 H156 F220 1433 N 
3956.0000 M202 500 H13 F220 1433 N 
3980.0000 M203 500 H152 F220 1433 N 
3998.0000 M204 500 H120 F220 1433 N 
4015.0000 M205 500 H1 F220 1433 N 
4036.0000 M206 500 H153 F220 1433 N 
4056.0000 M207 500 H159 F220 1433 N 
4077.0000 M208 500 H51 F220 1433 N 
4094.0000 M209 500 H153 F220 1433 N 
4114.0000 M210 500 H192 F220 1433 N 
4129.0000 M211 500 H22 F220 1433 N 
4145.0000 M212 500 H26 F220 1433 N 
4164.0000 M213 500 H9 F220 1433 N 
4184.0000 M214 500 H154 F220 1433 N 
